Project_Name, # of Vuln, Vul-1, Vul-2, Vul-3, Vul-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18F/identity-saml-jav,1,insecure-cookie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aadsm/JavaScript-ID3-Reader,5,useless-assignment-to-local,unused-local-variable,trivial-conditional,unneeded-defensive-code,automatic-semicolon-insertion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alexec/docker-java-orchestration,3,unused-format-argument,zipslip,output-resource-leak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
allure-framework/allure-java,1,unused-format-argument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apache/axis2-java,27,unknown-javadoc-parameter,path-injection,print-array,implicit-cast-in-compound-assignment,unused-container,type-mismatch-access,contradictory-type-checks,sync-on-boxed-types,unreachable-catch-clause,empty-container,non-null-boxed-variable,useless-null-check,xss,unimplementable-interface,constant-comparison,inconsistent-equals-and-hashcode,equals-on-unrelated-types,output-resource-leak,non-sync-override,xxe,zipslip,missing-space-in-concatenation,input-resource-leak,dereferenced-value-may-be-null,integer-multiplication-cast-to-long,unused-format-argument,index-out-of-bounds,,,,,,,,,,,,,,,,
apache/santuario-java,7,unknown-javadoc-parameter,abstract-to-concrete-cast,unsynchronized-getter,non-sync-override,xxe,input-resource-leak,dereferenced-value-may-be-null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apache/usergrid-java,2,non-null-boxed-variable,constant-comparison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apereo/java-cas-client,4,stack-trace-exposure,non-sync-override,xxe,input-resource-leak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
awslabs/aws-serverless-java-container/,2,unused-format-argument,index-out-of-bounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azure/azure-event-hubs-java,2,useless-null-check,dereferenced-value-may-be-null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azure/azure-libraries-for-java,9,unused-container,type-mismatch-access,database-resource-leak,non-null-boxed-variable,useless-null-check,unused-local-variable,automatic-semicolon-insertion,missing-variable-declaration,dereferenced-value-may-be-null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azure/azure-notificationhubs-java-backend,2,unknown-javadoc-parameter,integer-multiplication-cast-to-long,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azure/azure-storage-java,1,useless-null-check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azure-Samples/service-fabric-java-getting-started,10,useless-assignment-to-local,unused-local-variable,trivial-conditional,superfluous-trailing-arguments,automatic-semicolon-insertion,missing-variable-declaration,duplicate-variable-declaration,useless-assignment-to-property,use-before-declaration,incomplete-sanitization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bcgit/bc-java,20,inefficient-output-stream,unknown-javadoc-parameter,implicit-cast-in-compound-assignment,unused-container,contradictory-type-checks,useless-null-check,constant-comparison,inconsistent-equals-and-hashcode,whitespace-contradicts-precedence,predictable-seed,output-resource-leak,non-sync-override,missing-space-in-concatenation,input-resource-leak,dereferenced-value-may-be-null,reference-equality-of-boxed-types,integer-multiplication-cast-to-long,index-out-of-bounds,constant-loop-condition,equals-on-arrays,,,,,,,,,,,,,,,,,,,,,,,
boubaker/EWSJavaAPI/1.2,15,unknown-javadoc-parameter,unused-container,contradictory-type-checks,evaluation-to-constant,non-null-boxed-variable,useless-null-check,equals-on-unrelated-types,output-resource-leak,missing-space-in-concatenation,input-resource-leak,dereferenced-value-may-be-null,reference-equality-of-boxed-types,integer-multiplication-cast-to-long,unused-format-argument,dereferenced-value-is-always-null,,,,,,,,,,,,,,,,,,,,,,,,,,,,
capoxix/JavaScript30,3,unused-local-variable,automatic-semicolon-insertion,missing-variable-declaration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cicsdev/cics-java-recgen,1,parse-error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clinejj/foursquare-api-java,1,index-out-of-bounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clwillingham/java-socket.io.client,4,automatic-semicolon-insertion,missing-variable-declaration,unreachable-statement,comparison-between-incompatible-types,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coalfire-Research/java-deserialization-exploits,1,unused-local-variable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cognitect/transit-java,1,inconsistent-equals-and-hashcode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conveyal/geobuf-java,2,output-resource-leak,unsafe-double-checked-locking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DevMountain/JavaScript-Review,1,automatic-semicolon-insertion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
digidotcom/XBeeJavaLibrary,7,implicit-cast-in-compound-assignment,contradictory-type-checks,non-null-boxed-variable,inconsistent-equals-and-hashcode,output-resource-leak,input-resource-leak,dereferenced-value-may-be-null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
docusign/eg-01-java-jwt,1,dereferenced-value-may-be-null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
evernote/evernote-sdk-java,2,unknown-javadoc-parameter,inconsistent-equals-and-hashcode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
experianplc/experian-java,1,missing-variable-declaration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fouber/fis-java-jsp,3,useless-assignment-to-local,unused-local-variable,trivial-conditional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frohoff/appseccali-java,2,input-resource-leak,unsafe-deserialization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
git/git,23,declaration-hides-parameter,missing-header-guard,constant-comparison,unused-local-variable,trivial-conditional,redundant-else,superfluous-trailing-arguments,potentially-dangerous-function,empty-block,test-equals-none,assign-where-compare-meant,import-and-import-from,bitwise-sign-check,multiple-definition,call,integer-multiplication-cast-to-long,unreachable-statement,implicit-operand-conversion,catch-base-exception,unused-import,logical-operator-applied-to-flag,fixme-comment,local-variable-hides-global-variable,,,,,,,,,,,,,,,,,,,,
GoogleCloudPlatform/appengine-endpoints-tictactoe-java-maven,1,automatic-semicolon-insertion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoogleCloudPlatform/cloud-pubsub-samples-java,3,unused-container,output-resource-leak,input-resource-leak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoogleCloudPlatform/cloud-trace-java,1,input-resource-leak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gottox/socket.io-java-client,3,unknown-javadoc-parameter,missing-variable-declaration,input-resource-leak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
graphql-java/graphql-java,3,dereferenced-value-may-be-null,unused-format-argument,index-out-of-bounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heroku/java-getting-started,1,database-resource-leak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hypergrid-inc/docker-java-microservices,3,useless-assignment-to-local,unused-local-variable,trivial-conditional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBM/blockchain-application-using-fabric-java-sdk,2,unknown-javadoc-parameter,dereferenced-value-may-be-null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ing-bank/ing-ideal-connectors-java,5,useless-null-check,constant-comparison,output-resource-leak,xxe,dereferenced-value-may-be-null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
java-decompiler/jd-eclipse,1,unknown-javadoc-parameter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
